time,spd_ref,tq_ref,mav_spd,m1_current,m1_kw,m1_shaft_kw,m1_heatsink_tmp,m1_frequency,m1_torque_nm,m1_rpm,m1_kwh,mav_tq,m2_current,m2_kw,m2_shaft_kw,m2_heatsink_tmp,m2_frequency,m2_torque_nm,m2_rpm,m2_kwh,predicted_power
2025-01-20 09:27:43.733994+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.88,0.16,0.05,41,2.3,7.4,70,231,19.965818226210093,4.85,0.06,-0.04,40,2.1,5.5,-66,1,0
2025-01-20 09:27:45.060360+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.96,0.16,0.05,41,2.3,7.6,70,231,19.85594823902826,4.86,0.05,-0.03,40,2.1,5.5,-65,1,0
2025-01-20 09:27:46.445341+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.89,0.16,0.05,41,2.3,7.4,70,231,19.874259903558567,4.86,0.06,-0.04,40,2.1,5.5,-69,1,0
2025-01-20 09:27:47.806152+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.97,0.16,0.05,41,2.3,7.8,70,231,20.167246536043457,4.86,0.06,-0.03,40,2.2,5.6,-68,1,0
2025-01-20 09:27:49.162665+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.98,0.16,0.05,41,2.3,7.7,70,231,19.916987120795945,4.87,0.06,-0.04,40,2.1,5.6,-66,1,0
2025-01-20 09:27:50.488610+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.98,0.15,0.05,41,2.3,7.6,70,231,19.947506561679788,4.86,0.06,-0.03,40,2.1,5.5,-65,1,0
2025-01-20 09:27:51.878380+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.93,0.16,0.05,41,2.3,7.5,70,231,19.874259903558567,4.88,0.06,-0.04,40,2.1,5.5,-69,1,0
2025-01-20 09:27:53.209567+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.95,0.16,0.05,41,2.3,7.7,70,231,20.03296099615455,4.85,0.06,-0.03,40,2.1,5.5,-66,1,0
2025-01-20 09:27:54.592388+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.9,0.16,0.05,41,2.3,7.3,70,231,20.173350424220228,4.85,0.05,-0.03,40,2.1,5.5,-68,1,0
2025-01-20 09:27:55.955630+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.93,0.16,0.05,41,2.3,7.7,70,231,19.85594823902826,4.86,0.05,-0.03,40,2.1,5.6,-66,1,0
2025-01-20 09:27:57.415265+00:00,4.999084416773484,19.996337667093936,4.992980528596716,6.02,0.16,0.05,41,2.3,8.0,70,231,20.039064884331317,4.88,0.05,-0.04,40,2.0,5.6,-66,1,0
2025-01-20 09:27:58.772953+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.94,0.16,0.05,41,2.3,8.0,70,231,19.94140267350302,4.86,0.06,-0.04,40,2.2,5.5,-69,1,0
2025-01-20 09:28:00.132680+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.97,0.16,0.05,41,2.3,7.6,70,231,20.185558200573762,4.86,0.06,-0.04,40,2.1,5.9,-68,1,0
2025-01-20 09:28:01.492396+00:00,4.999084416773484,19.996337667093936,4.992980528596716,5.88,0.16,0.05,41,2.3,7.5,70,231,20.0817921015687,4.84,0.05,-0.03,40,2.2,5.5,-70,1,0
