time,spd_ref,tq_ref,mav_spd,m1_current,m1_kw,m1_shaft_kw,m1_heatsink_tmp,m1_frequency,m1_torque_nm,m1_rpm,m1_kwh,mav_tq,m2_current,m2_kw,m2_shaft_kw,m2_heatsink_tmp,m2_frequency,m2_torque_nm,m2_rpm,m2_kwh,predicted_power
2025-01-20 09:38:08.130908+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.68,0.16,0.06,41,2.3,8.3,70,231,30.06775315876213,5.08,0.05,-0.05,40,2.0,8.4,-64,1,0
2025-01-20 09:38:09.589861+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.74,0.16,0.06,41,2.3,8.4,70,231,30.086064823292435,5.09,0.06,-0.05,40,2.0,8.4,-64,1,0
2025-01-20 09:38:10.950905+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.63,0.16,0.06,41,2.3,8.0,70,231,30.018922053347982,5.08,0.06,-0.05,40,2.0,8.5,-66,1,0
2025-01-20 09:38:12.315377+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.7,0.16,0.06,41,2.3,7.9,70,231,30.079960935115665,5.11,0.06,-0.05,40,2.0,8.6,-67,1,0
2025-01-20 09:38:13.664355+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.64,0.16,0.05,41,2.3,8.3,70,231,30.110480375999508,5.07,0.06,-0.05,40,2.0,8.4,-64,1,0
2025-01-20 09:38:14.981799+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.68,0.17,0.06,41,2.3,8.0,70,231,29.945675395226758,5.08,0.06,-0.05,40,2.0,8.5,-66,1,0
2025-01-20 09:38:16.382692+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.72,0.16,0.06,41,2.3,8.4,70,231,30.165415369590427,5.08,0.06,-0.05,40,2.0,8.4,-66,1,0
2025-01-20 09:38:17.739053+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.72,0.16,0.06,41,2.3,8.0,70,231,30.11658426417628,5.1,0.05,-0.05,40,2.0,8.4,-66,1,0
2025-01-20 09:38:19.062095+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.66,0.17,0.06,41,2.3,8.2,70,231,29.982298724287368,5.07,0.06,-0.05,40,2.0,8.4,-66,1,0
2025-01-20 09:38:20.391822+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.73,0.16,0.06,41,2.3,8.2,70,231,30.226454251358113,5.08,0.06,-0.05,40,1.9,8.5,-65,1,0
2025-01-20 09:38:21.712817+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.68,0.16,0.05,41,2.3,8.1,70,231,30.110480375999508,5.08,0.05,-0.05,40,2.0,8.4,-64,1,0
2025-01-20 09:38:23.065641+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.66,0.16,0.05,41,2.3,8.1,70,231,30.10437648782274,5.07,0.05,-0.05,40,2.0,8.4,-66,1,0
2025-01-20 09:38:24.426634+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.69,0.16,0.06,41,2.3,8.5,70,231,30.031129829701516,5.07,0.06,-0.05,40,1.9,8.5,-63,1,0
2025-01-20 09:38:25.784218+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.7,0.16,0.06,41,2.3,8.3,70,231,30.147103705060122,5.09,0.06,-0.05,40,2.0,8.5,-65,1,0
2025-01-20 09:38:27.244861+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.72,0.16,0.06,41,2.3,8.2,70,231,30.06164927058536,5.1,0.05,-0.05,40,2.0,8.4,-64,1,0
2025-01-20 09:38:28.603525+00:00,4.999084416773484,29.994506500640906,4.992980528596716,5.67,0.16,0.06,41,2.6,9.2,101,231,30.086064823292435,5.06,0.02,-0.08,40,4.5,8.3,-143,1,0
2025-01-20 09:38:29.960696+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.73,0.22,0.11,41,4.7,8.1,140,231,30.128792040529817,5.08,0.02,-0.12,40,4.3,8.2,-135,1,0
2025-01-20 09:38:31.294365+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.82,0.22,0.12,41,4.7,8.2,140,231,29.97009094793383,5.08,0.02,-0.12,40,4.3,8.4,-135,1,0
2025-01-20 09:38:32.675923+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.77,0.22,0.11,41,4.7,8.2,140,231,30.06775315876213,5.09,0.01,-0.12,40,4.4,8.4,-135,1,0
2025-01-20 09:38:34.033994+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.81,0.22,0.11,41,4.7,8.2,140,231,30.10437648782274,5.08,0.02,-0.11,40,4.4,8.8,-135,1,0
2025-01-20 09:38:35.401566+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.85,0.22,0.11,41,4.7,8.1,140,231,29.951779283403525,5.07,0.01,-0.11,40,4.3,8.3,-134,1,0
2025-01-20 09:38:36.750227+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.89,0.22,0.11,41,4.7,7.9,140,231,30.098272599645973,5.09,0.01,-0.11,40,4.3,8.4,-134,1,0
2025-01-20 09:38:38.107630+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.77,0.21,0.11,41,4.7,8.1,140,231,30.11658426417628,5.09,0.02,-0.11,40,4.2,8.4,-132,1,0
2025-01-20 09:38:39.466355+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.85,0.22,0.12,41,4.7,7.8,140,231,29.927363730696452,5.08,0.01,-0.11,40,4.3,8.3,-134,1,0
2025-01-20 09:38:40.822515+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.84,0.22,0.11,41,4.7,7.8,140,231,30.10437648782274,5.07,0.01,-0.11,40,4.3,8.3,-134,1,0
2025-01-20 09:38:42.180688+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.75,0.22,0.11,41,4.7,8.2,140,231,30.128792040529817,5.08,0.01,-0.11,40,4.3,8.4,-137,1,0
2025-01-20 09:38:43.537927+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.85,0.22,0.12,41,4.7,8.2,140,231,29.951779283403525,5.1,0.01,-0.11,40,4.4,8.2,-139,1,0
2025-01-20 09:38:44.896656+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.77,0.21,0.11,41,4.7,8.0,140,231,29.939571507049987,5.04,0.01,-0.11,40,4.4,8.4,-136,1,0
2025-01-20 09:38:46.252910+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.75,0.22,0.11,41,4.7,8.4,140,231,30.043337606055054,5.11,0.02,-0.12,40,4.4,8.5,-136,1,0
2025-01-20 09:38:47.611966+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.8,0.22,0.12,41,4.7,8.0,140,231,29.951779283403525,5.08,0.01,-0.12,40,4.3,8.3,-137,1,0
2025-01-20 09:38:48.969896+00:00,9.998168833546968,29.994506500640906,9.9920649453702,5.78,0.22,0.12,41,4.7,8.2,140,231,30.098272599645973,5.05,0.02,-0.11,40,4.3,8.3,-136,1,0
