5.000000000000000000e+01,5.100000000000000089e-01,5.735000000000000142e+01,4.900000000000000000e+01,8.000000000000000167e-02,1.962000000000000099e+01
1.000000000000000000e+02,3.400000000000000244e-01,2.875000000000000000e+01,9.900000000000000000e+01,3.499999999999999778e-01,3.354999999999999716e+01
1.490000000000000000e+02,7.700000000000000178e-01,4.153000000000000114e+01,1.500000000000000000e+02,7.800000000000000266e-01,5.164999999999999858e+01
1.990000000000000000e+02,1.379999999999999893e+00,5.589000000000000057e+01,2.000000000000000000e+02,1.389999999999999902e+00,6.984000000000000341e+01
2.490000000000000000e+02,2.169999999999999929e+00,7.003000000000000114e+01,2.500000000000000000e+02,2.100000000000000089e+00,8.785999999999999943e+01
3.000000000000000000e+02,3.160000000000000142e+00,8.446999999999999886e+01,3.000000000000000000e+02,3.189999999999999947e+00,1.061099999999999994e+02
3.490000000000000000e+02,4.290000000000000036e+00,9.904000000000000625e+01,3.500000000000000000e+02,4.469999999999999751e+00,1.244099999999999966e+02
3.990000000000000000e+02,5.580000000000000071e+00,1.133100000000000023e+02,3.990000000000000000e+02,5.240000000000000213e+00,1.423499999999999943e+02
4.490000000000000000e+02,7.160000000000000142e+00,1.276800000000000068e+02,4.500000000000000000e+02,7.000000000000000000e+00,1.606200000000000045e+02
5.000000000000000000e+02,9.089999999999999858e+00,1.422700000000000102e+02,5.000000000000000000e+02,9.160000000000000142e+00,1.789199999999999875e+02
5.490000000000000000e+02,1.047000000000000064e+01,1.568000000000000114e+02,5.500000000000000000e+02,1.053999999999999915e+01,1.970600000000000023e+02
6.000000000000000000e+02,1.291999999999999993e+01,1.710099999999999909e+02,6.000000000000000000e+02,1.240000000000000036e+01,2.151800000000000068e+02
6.490000000000000000e+02,1.473000000000000043e+01,1.856699999999999875e+02,6.490000000000000000e+02,1.493999999999999950e+01,2.331500000000000057e+02
6.990000000000000000e+02,1.658999999999999986e+01,2.000300000000000011e+02,6.990000000000000000e+02,1.708999999999999986e+01,2.514699999999999989e+02
7.490000000000000000e+02,1.982000000000000028e+01,2.143300000000000125e+02,7.500000000000000000e+02,1.969999999999999929e+01,2.696499999999999773e+02
8.000000000000000000e+02,2.237999999999999901e+01,2.288700000000000045e+02,7.990000000000000000e+02,2.214999999999999858e+01,2.878299999999999841e+02
8.490000000000000000e+02,2.532000000000000028e+01,2.430800000000000125e+02,8.490000000000000000e+02,2.535999999999999943e+01,3.063399999999999750e+02
9.000000000000000000e+02,2.839999999999999858e+01,2.576399999999999864e+02,8.990000000000000000e+02,2.810999999999999943e+01,3.244900000000000091e+02
9.490000000000000000e+02,3.160000000000000142e+01,2.718299999999999841e+02,9.490000000000000000e+02,3.169000000000000128e+01,3.423899999999999864e+02
9.990000000000000000e+02,3.489999999999999858e+01,2.861299999999999955e+02,9.990000000000000000e+02,3.520000000000000284e+01,3.607400000000000091e+02
1.050000000000000000e+03,3.864000000000000057e+01,3.007300000000000182e+02,1.050000000000000000e+03,3.871999999999999886e+01,3.785299999999999727e+02
1.099000000000000000e+03,4.220000000000000284e+01,3.152300000000000182e+02,1.100000000000000000e+03,4.192999999999999972e+01,3.968500000000000227e+02
1.149000000000000000e+03,4.604999999999999716e+01,3.295199999999999818e+02,1.150000000000000000e+03,4.647999999999999687e+01,4.150899999999999750e+02
1.200000000000000000e+03,5.039999999999999858e+01,3.442400000000000091e+02,1.200000000000000000e+03,5.028999999999999915e+01,4.332200000000000273e+02
1.250000000000000000e+03,5.431000000000000227e+01,3.585199999999999818e+02,1.249000000000000000e+03,5.421000000000000085e+01,4.511399999999999864e+02
1.299000000000000000e+03,5.877000000000000313e+01,3.727900000000000205e+02,1.299000000000000000e+03,5.911999999999999744e+01,4.697799999999999727e+02
1.350000000000000000e+03,6.340999999999999659e+01,3.872400000000000091e+02,1.349000000000000000e+03,6.375000000000000000e+01,4.878199999999999932e+02
1.400000000000000000e+03,6.818999999999999773e+01,4.016999999999999886e+02,1.399000000000000000e+03,6.828000000000000114e+01,5.063399999999999750e+02
1.449000000000000000e+03,7.365999999999999659e+01,4.161800000000000068e+02,1.449000000000000000e+03,7.351999999999999602e+01,5.242200000000000273e+02
